COD_ASL,COD_STRUTTURA,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ACCREDITATI,COD_GESTORE,DENOM_GESTORE,P_IVA,COD_FISCALE_GESTORE,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA_PRIVATA,ONLUS,WGS84_X,WGS84_Y,LOCATION
323,000984,CDI CITTA' DI SONDRIO,"VIA DON LUIGI GUANELLA,36",014061,SONDRIO,23100,SO,20,20,691255,FONDAZIONE CASA DI RIPOSO CITTA' DI SONDRIO,00401580147,80000270142,"VIA DON LUIGI GUANELLA,36",014061,SONDRIO,SO,,PRIVATA,,9.86489,46.16346,POINT (9.86489 46.16346)
322,000790,CDI CASA SAN GIORGIO ETS,"VIA ARDENGO VISCONTI,2",012109,ORIGGIO,21040,VA,40,40,690648,ASSOCIAZIONE CASA SAN GIORGIO - ONLUS,02121610121,02121610121,"VIA ARDENGO VISCONTI,2",012109,ORIGGIO,VA,ASSOCIAZIONE,PRIVATA,NO,9.01633,45.59636,POINT (9.01633 45.59636)
328,004868,CENTRO DIURNO INTEGRATO DI CORTEOLONA,"VIA DELLE COSTIERE,4",018192,CORTEOLONA E GENZONE,27014,PV,30,30,690492,PII ISTITUTI UNIFICATI,00478980188,00478980188,"PIAZZALE MONSIGNOR BATTISTA CLERICI,6",018013,BELGIOIOSO,PV,ENTE MORALE DI DIRITTO PRIVATO,PRIVATA,NO,9.36982,45.15697,POINT (9.36982 45.15697)
321,000190,CENTRO DIURNO INTEGRATO DI CORMANO,"VIA GIUSEPPE MAZZINI,23",015086,CORMANO,20032,MI,40,40,690715,FONDAZIONE MANTOVANI ONLUS,11779830154,11779830154,"VIA FILIPPO TURATI,37",015007,ARCONATE,MI,,PRIVATA,,9.15898354,45.54611107,POINT (9.15898354 45.54611107)
327,001803,"""CDI """"CASA OZANAM""""""","VIA BRESCIA,207",019036,CREMONA,26100,CR,20,20,690876,AZIENDA SPECIALE COMUNALE CREMONA SOLIDALE,01310740194,93042130190,"VIA BRESCIA,207",019036,CREMONA,CR,,PUBBLICA,,10.0378108,45.1517845,POINT (10.0378108 45.1517845)
321,000332,CENTRO DIURNO COMM. CARLO MARZAGALLI,"VIA PAOLO GORINI,48",098031,LODI,26900,LO,30,30,691426,FONDAZIONE SANTA CHIARA CENTRO MULTISERVIZI PER LA POPOLAZIONE ANZIANA ONLUS,08043770158,84501950152,"VIA PAOLO GORINI,48",098031,LODI,LO,,PRIVATA,,9.5095598,45.3135264,POINT (9.5095598 45.3135264)
321,000470,CDI G. PERUSINI,"VIA PIER ALESSANDRO PARAVIA,63",015146,MILANO,20148,MI,30,30,690414,ISTITUTO GERIATRICO MILANESE S.P.A.,12192560154,04337840484,"VIA PIER ALESSANDRO PARAVIA,63",015146,MILANO,MI,,PRIVATA,,9.1331871,45.4730272,POINT (9.1331871 45.4730272)
327,001783,CDI FONDAZIONE  SAN  BIAGIO ONLUS,"VIA SAN ROCCO,15",020018,CAVRIANA,46040,MN,10,10,690771,FONDAZIONE SAN BIAGIO ONLUS,01565200209,81003330206,"VIA SAN ROCCO,15",020018,CAVRIANA,MN,,PRIVATA,,10.60229,45.34898,POINT (10.60229 45.34898)
326,001629,CDI C/O FONDAZIONE VILLA SERENA ETS,"VIALE GIANBATTISTA ORIZIO,17",017150,PONTOGLIO,25037,BS,20,15,690868,FONDAZIONE VILLA SERENA - ONLUS,02730300981,00976580175,"VIALE ORIZIO,17",017174,SAREZZO,BS,,PRIVATA,,9.8523578,45.5724348,POINT (9.8523578 45.5724348)
321,000244,CDI MIRASOLE,"VIA COSTANTINO BARONI,57/A",015146,MILANO,20142,MI,30,30,690790,COOPERATIVA SOCIALE COOPSELIOS SOCIETA' COOPERATIVA ONLUS,01164310359,01164310359,"VIA ANTONIO GRAMSCI,54/S",035033,REGGIO NELL'EMILIA,RE,,PRIVATA,,9.170114,45.4065746,POINT (9.170114 45.4065746)
328,002011,FONDAZIONE PENSIONATO SANNAZZARESE ONLUS,"VIA INCISA,1",018138,SANNAZZARO DE' BURGONDI,27039,PV,15,15,690590,FONDAZIONE PENSIONATO SANNAZZARESE ONLUS,01007990185,82000650182,"VIA INCISA,1",018138,SANNAZZARO DE' BURGONDI,PV,FONDAZIONE,PRIVATA,SI,8.90963,45.10131,POINT (8.90963 45.10131)
322,002799,CDI GIUSEPPE ALLIEVI,"VIA FRANCESCO ANZANI,11",013007,ALZATE BRIANZA,22040,CO,20,20,690863,AZIENDA SPECIALE DEL COMUNE DI ALZATE BRIANZA,02582670135,02582670135,"VIA FRANCESCO ANZANI,1",013007,ALZATE BRIANZA,CO,,PUBBLICA,,9.1845521,45.7658979,POINT (9.1845521 45.7658979)
321,000082,CA' DEL DI',"VIA BOLZANO,22",015105,GARBAGNATE MILANESE,20024,MI,35,35,691838,COMUNE DI GARBAGNATE MILANESE,00792720153,00792720153,"PIAZZA ALCIDE DE GASPERI,1",015105,GARBAGNATE MILANESE,MI,,PUBBLICA,,9.07026,45.57802,POINT (9.07026 45.57802)
324,001172,CDI C/O RSA BOSCO IN CITTA',"VIA MARTIN LUTHER KING,4",108012,BRUGHERIO,20861,MB,30,30,690672,KCS CAREGIVER COOPERATIVA SOCIALE,02125100160,02125100160,"ROTONDA DEI MILLE,1",016024,BERGAMO,BG,,PRIVATA,,9.29959,45.54316,POINT (9.29959 45.54316)
322,000808,"""CDI DON GHIRINGHELLI","VIA GALILEO GALILEI,8",012085,JERAGO CON ORAGO,21040,VA,20,20,692369,CODESS SOCIALE SOCIETA' COOPERATIVA SOCIALE,03174760276,03174760276,"VIA GIOVANNI BOCCACCIO,96",028060,PADOVA,PD,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,8.8029585,45.7032355,POINT (8.8029585 45.7032355)
321,000681,CDI C/O RSA GIUSEPPE GEROSA BRICHETTO,"VIA MECENATE,96",015146,MILANO,20138,MI,30,30,127270,C.A.D.I.A.I. COOPERATIVA SOCIALE,00672690377,00672690377,"VIA PAOLO BOVI CAMPEGGI,2/4",037006,BOLOGNA,BO,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.2509956,45.4502058,POINT (9.2509956 45.4502058)
326,001481,CDI C/O LA RSA MADRE TERESA DI CALCUTTA,"VIA GIUSEPPE VERDI,42",017174,SAREZZO,25068,BS,15,10,690592,COMUNE DI SAREZZO,00582490983,00852210178,"PIAZZA CESARE BATTISTI,4",017174,SAREZZO,BS,,PUBBLICA,,10.2012663,45.6569062,POINT (10.2012663 45.6569062)
327,001877,CENTRO DIURNO INTEGRATO IL GIRASOLE,"VIA GIUSEPPE GARIBALDI,36",020022,DOSOLO,46030,MN,10,10,690429,FONDAZIONE ULDERICO SABBADINI ONLUS,01327120208,83001070206,VIA GIUSEPPE GARIBALDI 36,020022,DOSOLO,MN,FONDAZIONE,PRIVATA,NO,10.64366,44.97781,POINT (10.64366 44.97781)
327,002003,CENTRO DIURNO INTEGRATO ANDREA BERTOLINI,"PIAZZALE MICHELANGELO,1",020030,MANTOVA,46100,MN,20,20,690629,ASPEF AZIENDA SERVIZI ALLA PERSONA E ALLA FAMIGLIA,01837820206,01837820206,"PIAZZALE MICHELANGELO,1",020030,MANTOVA,MN,AZIENDA SPECIALE DI ENTE LOCALE,PUBBLICA,NO,10.7757,45.15329,POINT (10.7757 45.15329)
324,033541,CDI IL CILIEGIO,"VIA LUIGI CASANOVA,33/A",108033,MONZA,20900,MB,30,30,690603,LA MERIDIANA SOCIETA' COOPERATIVA SOCIALE,02322460961,08400690155,"VIALE CESARE BATTISTI,86",108033,MONZA,MB,,PRIVATA,,9.25298,45.59372,POINT (9.25298 45.59372)
322,002820,GIUSEPPINA PRINA 2,"PIAZZA GIUSEPPINA PRINA,1",013095,ERBA,22036,CO,15,15,691368,FONDAZIONE GIUSEPPINA PRINA - ONLUS,01224400133,82003210133,PIAZZA GIUSEPPINA PRINA 1,013095,ERBA,CO,FONDAZIONE,PRIVATA,NO,9.2230927,45.8107059,POINT (9.2230927 45.8107059)
321,096370,IL MANDORLO,"VIA PIAVE,20",015027,BOLLATE,20021,MI,30,30,030706,ASST RHODENSE,09323530965,09323530965,"VIALE CARLO FORLANINI,95",015105,GARBAGNATE MILANESE,MI,ASST,PUBBLICA,NO,9.11722333,45.54073131,POINT (9.11722333 45.54073131)
324,001046,IL CASTELLO,"VIA GIUSEPPE VERDI,25",097021,CESANA BRIANZA,23861,LC,27,20,691775,L'ARCOBALENO SOCIETA' COOPERATIVA SOCIALE - ONLUS,01461770131,01461770131,"VIALE FILIPPO TURATI,117",097042,LECCO,LC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.30277,45.81876,POINT (9.30277 45.81876)
327,001890,CDI SMERALDO,"VIA GIOVAN BATTISTA ROSA,42",019064,OSTIANO,26032,CR,22,22,690562,FONDAZIONE BRUNO PARI ONLUS,00870300191,80004330199,"VIA GIAN BATTISTA ROSA, 42",019064,OSTIANO,CR,FONDAZIONE,PRIVATA,NO,10.2466195,45.2255048,POINT (10.2466195 45.2255048)
322,002855,"""CDI C/O RSA """"GARIBALDI POGLIANI""""""","VIA ANDREA CAMUZIO,6",013043,CAPIAGO INTIMIANO,22070,CO,40,40,690802,FONDAZIONE R.S.A. GARIBALDI POGLIANI ONLUS,01798350136,81002570133,"VIA FRATELLI GALIMBERTI,4",013041,CANTU',CO,,PRIVATA,,9.12478,45.76798,POINT (9.12478 45.76798)
323,000976,CDI DI CHIAVENNA,"VIA DON PIETRO BUZZETTI,41",014018,CHIAVENNA,23022,SO,16,16,691725,L'ARCA SOCIETA' COOPERATIVA SOCIALE,00528850142,00528850142,"VIA DON PIETRO BUZZETTI,41",014018,CHIAVENNA,SO,,PRIVATA,,9.3890513,46.3214649,POINT (9.3890513 46.3214649)
322,034290,CENTRO DIURNO INTEGRATO PROTETTO IL MELO,"VIA MAGENTA,3",012070,GALLARATE,21013,VA,25,25,691476,IL MELO ONLUS SOCIETA' COOPERATIVA SOCIALE,01564890125,91002590122,"VIA MAGENTA,3",012070,GALLARATE,VA,,PRIVATA,,8.7934,45.65624,POINT (8.7934 45.65624)
321,000546,CDI CASA PER CONIUGI,"VIA DEI CINQUECENTO,19",015146,MILANO,20139,MI,30,30,691806,PUNTO SERVICE - COOPERATIVA SOCIALE A R.L,01645790021,01645790021,"VIA VERCELLI,23/A",002031,CARESANABLOT,VC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.2207407,45.4351636,POINT (9.2207407 45.4351636)
327,001987,CDI PROF. ANGELO MALFASI,"VIA BECCADELLO,6",019025,CASTELLEONE,26012,CR,40,40,690696,FONDAZIONE GIUSEPPINA BRUNENGHI ONLUS,00387930191,83000630190,"VIA BECCADELLO,6",019025,CASTELLEONE,CR,FONDAZIONE,PRIVATA,NO,9.76475263,45.29034768,POINT (9.76475263 45.29034768)
327,001884,"""CDI PER ANZIANI """"EMANUELE E GIUSEPPINA CORDIOLI""""""","VIALE VITTORIO GAVIOLI,15",020033,MARMIROLO,46045,MN,12,12,690699,FONDAZIONE MONS ARRIGO MAZZALI ONLUS DI MANTOVA,00441270204,80005070208,"VIA TRENTO,10",020030,MANTOVA,MN,,PRIVATA,,10.75717,45.22149,POINT (10.75717 45.22149)
321,000189,ISTITUTO PALAZZOLO FONDAZIONE DON CARLO GNOCCHI ONLUS,"VIA DON LUIGI PALAZZOLO,21",015146,MILANO,20149,MI,30,30,690451,FONDAZIONE DON CARLO GNOCCHI ONLUS,12520870150,04793650583,"VIA CARLO GIROLA,30",015146,MILANO,MI,FONDAZIONE,PRIVATA,SI,9.1444404,45.4894283,POINT (9.1444404 45.4894283)
325,001231,CDI DELLA FONDAZIONE CASA DI RIPOSO DI PONTE SAN PIETRO O.N.L.U.S.,"VIA GIACOMO MATTEOTTI,5",016170,PONTE SAN PIETRO,24036,BG,30,30,690614,FONDAZIONE CASA DI RIPOSO DI PONTE SAN PIETRO ONLUS,01837860160,82000550168,"VIA GIACOMO MATTEOTTI, 5",016170,PONTE SAN PIETRO,BG,FONDAZIONE,PRIVATA,NO,9.5864293,45.6981451,POINT (9.5864293 45.6981451)
326,001688,CDI GERICO,"VIA DON PIERINO FERRARI,3/A",017085,ISEO,25049,BS,20,20,690132,FONDAZIONE MAMRE' ONLUS,01301620173,01301620173,"VIA RISORGIMENTO,173",017085,ISEO,BS,FONDAZIONE,PRIVATA,NO,10.0020157,45.658112,POINT (10.0020157 45.658112)
321,014552,CDI CENTRO DIURNO INTEGRATO E SERVIZI DI RECUPERO FUNZIONALE E SOCIALE,"VIA MICHELANGELO BUONARROTI,59",015070,CERNUSCO SUL NAVIGLIO,20063,MI,40,40,130508,CONSORZIO STABILE HCM,04409410968,04409410968,"VIA CRESCENZAGO,55",015146,MILANO,MI,,PRIVATA,,9.3170843,45.5218046,POINT (9.3170843 45.5218046)
327,001920,CENTRO DIURNO INTEGRATO I TULIPANI,"STRADA COMUNALE MARINA,1/B",020027,GONZAGA,46023,MN,15,15,690454,I TULIPANI S.R.L.,02152450207,02152450207,"STRADA COMUNALE MARINA,1/B",020027,GONZAGA,MN,,PRIVATA,,10.81954,44.95703,POINT (10.81954 44.95703)
324,001207,CDI PREZIOSISSIMO SANGUE,"VIA GIOVANNI RAIBERTI,17",108033,MONZA,20900,MB,40,40,120850,REMBRANDT COOPERATIVA SOCIALE,01957760133,01957760133,"VIA VARESE,25/D",012119,SARONNO,VA,,PRIVATA,,9.28556,45.58573,POINT (9.28556 45.58573)
326,001589,C.D.I FRA' PIETRO GHIDINI,"VIA PILASTROINI,10",017029,BRESCIA,25100,BS,25,25,690002,PROVINCIA LOMBARDO-VENETA DELL'ORDINE OSPEDALIERO DI SAN GIOVANNI DI DIO FATEBENEFRATELLI,01647730157,01647730157,"VIA PILASTRONI,4",017029,BRESCIA,BS,ENTE ECCLESIASTICO,PRIVATA,NO,10.232,45.53689,POINT (10.232 45.53689)
324,001125,CDI LASER,"VIA FILANDA,12",097042,LECCO,23900,LC,40,40,691775,L'ARCOBALENO SOCIETA' COOPERATIVA SOCIALE - ONLUS,01461770131,01461770131,"VIALE FILIPPO TURATI,117",097042,LECCO,LC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.41613,45.85216,POINT (9.41613 45.85216)
322,000764,CDI MONS. GEROLAMO COMI,"VIA CARLO FORLANINI,6",012092,LUINO,21016,VA,10,10,690624,FONDAZIONE MONS. G. COMI ONLUS,02191770128,84002350126,"VIA CARLO FORLANINI,6",012092,LUINO,VA,,PRIVATA,,8.7462549,45.9973738,POINT (8.7462549 45.9973738)
324,038146,IL SOLE,"VIA CESARE CANTU',7",108010,BOVISIO-MASCIAGO,20813,MB,18,18,145090,COOPERATIVA SOCIALE VIRTUS A R.L.,07206450962,07206450962,"VIA SAN SENATORE,8",015146,MILANO,MI,,PRIVATA,,9.14574,45.60987,POINT (9.14574 45.60987)
326,001702,CDI C/O LA RSA CASA DI INDUSTRIA,"VIA VERONICA GAMBARA,6",017029,BRESCIA,25121,BS,30,30,690812,FONDAZIONE CASA INDUSTRIA ONLUS,02505430989,80052670173,"VIA VERONICA GAMBARA,6",017029,BRESCIA,BS,FONDAZIONE,PRIVATA,NO,10.2275026,45.5386262,POINT (10.2275026 45.5386262)
326,001620,CDI VILLA DEI GELSI,"VIA C.MAZZOCCHI,19",017186,TORBOLE CASAGLIA,25030,BS,15,15,690682,FONDAZIONE POMPEO E CESARE MAZZOCCHI ONLUS,00724370986,82000930170,"VIA VITTORIO EMANUELE II,26",017056,COCCAGLIO,BS,,PRIVATA,,10.1155071,45.512492,POINT (10.1155071 45.512492)
328,002136,"""CDI """"RESIDENZA PER ANZIANI CESARE PARISIO""""""","VIA ROMA,11/13",018192,CORTEOLONA E GENZONE,27014,PV,40,40,690492,PII ISTITUTI UNIFICATI,00478980188,00478980188,"PIAZZALE MONSIGNOR BATTISTA CLERICI,6",018013,BELGIOIOSO,PV,ENTE MORALE DI DIRITTO PRIVATO,PRIVATA,NO,9.36982,45.15697,POINT (9.36982 45.15697)
321,000135,CDI GIUSEPPE MOSCATI,"VIA ORTI,27",015146,MILANO,20122,MI,15,15,690415,FONDAZIONE S.G. MOSCATI,09791060156,97075530150,"VIA ORTI,27",015146,MILANO,MI,FONDAZIONE,PRIVATA,NO,9.2013831,45.4552934,POINT (9.2013831 45.4552934)
327,004764,CENTRO DIURNO INTEGRATO PER ANZIANI G.SERINI,"VIA SANTUARIO,28/A",020054,SABBIONETA,46018,MN,10,10,690452,C.S.A. COOPERATIVA SERVIZI ASSISTENZIALI - SOCIETA' COOPERATIVA SOCIALE,01697440202,01697440202,"VIA GELSO,8",020030,MANTOVA,MN,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,10.4801979,44.9963335,POINT (10.4801979 44.9963335)
324,001178,CDI MACALLE',"VIA GIUSEPPE MAZZINI,29",108018,CERIANO LAGHETTO,20816,MB,22,22,104064,COOPERATIVA SOCIALE SAN NICOLO' - SOCIETA' COOPERATIVA SOCIALE,01665720163,01665720163,VIA PIO MANZU',016006,ALMENNO SAN BARTOLOMEO,BG,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.07832,45.62844,POINT (9.07832 45.62844)
321,000291,CDI C/O RSA VIRGILIO FERRARI,"VIA DEI PANIGAROLA,14",015146,MILANO,20139,MI,22,22,691806,PUNTO SERVICE - COOPERATIVA SOCIALE A R.L,01645790021,01645790021,"VIA VERCELLI,23/A",002031,CARESANABLOT,VC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.2225111,45.4356347,POINT (9.2225111 45.4356347)
327,001927,CDI ANNI AZZURRI,"VIA MARTIRI DELLA LIBERTA',3",019051,GRUMELLO CREMONESE ED UNITI,26023,CR,30,30,185252,OASI S.R.L.,04425290980,04425290980,"VIA PALESTRO,33",017125,ORZINUOVI,BS,,PRIVATA,,9.86641,45.19381,POINT (9.86641 45.19381)
326,001645,C.D.I VILLA DEI PINI,"VIA TITO SPERI,50",017199,VILLA CARCINA,25069,BS,15,15,690525,FONDAZIONE COLTURI VILLA DEI PINI ONLUS,00725020986,83001330170,"VIA TITO SPERI,50",017199,VILLA CARCINA,BS,,PRIVATA,,10.1916544,45.6334472,POINT (10.1916544 45.6334472)
326,001614,CDI PRIMAVERE,"VIA LUCIO FIORENTINI,19/B",017029,BRESCIA,25134,BS,30,25,690813,FONDAZIONE BRESCIA SOLIDALE ONLUS,02912960982,98133500177,"VIA LUCIO FIORENTINI,19/B",017029,BRESCIA,BS,,PRIVATA,,10.2619286,45.5134264,POINT (10.2619286 45.5134264)
322,002710,CDI FONDAZIONE CASA DI RIPOSO INTERCOMUNALE PER PERSONE ANZIANE ONLUS,"VIALE JOHN FITZGERALD KENNEDY,70",013028,BREGNANO,22070,CO,15,15,152072,FONDAZIONE CASE DI RIPOSO RIUNITE DI BREGNANO E LOMAZZO ONLUS,03850460134,03850460134,"VIA DEL LAGHETTO,9",013133,LOMAZZO,CO,,PRIVATA,,9.05667962,45.70812971,POINT (9.05667962 45.70812971)
325,001371,CDI CASA OSPITALE ARESI,"VIA CAPITANO GIUSEPPE FACCHINETTI,2",016040,BRIGNANO GERA D'ADDA,24053,BG,30,30,690818,CASA OSPITALE DON PIETRO ARESI ONLUS,01439770163,84002250169,"VIA CAPITANO GIUSEPPE FACCHINETTI, 2",016040,BRIGNANO GERA D'ADDA,BG,FONDAZIONE,PRIVATA,NO,9.6458437,45.546158,POINT (9.6458437 45.546158)
325,001374,CDI ARIOLI DOLCI,"VIA ANTONIETTA ARIOLI DOLCI,14",016220,TREVIOLO,24048,BG,36,36,731729,NAMASTE' SOCIETA' COOPERATIVA SOCIALE,02906930165,02906930165,"VIA VALCALCHERA,5",016069,CENATE SOTTO,BG,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,NO,9.6125041,45.6730151,POINT (9.6125041 45.6730151)
321,000182,"""CDI C/O ISTITUTO GERIATRICO """"P. REDAELLI""""""","VIA BARTOLOMEO D'ALVIANO,78",015146,MILANO,20146,MI,20,20,690852,AZIENDA DI SERVIZI ALLA PERSONA GOLGI REDAELLI,04737420150,80063990156,"VIA BARTOLOMEO D'ALVIANO,78",015146,MILANO,MI,AZIENDA DI SERVIZI ALLA PERSONA (ASP),PUBBLICA,NO,9.1381581,45.4595933,POINT (9.1381581 45.4595933)
324,001108,CDI PER MALATI DI ALZHEIMER,"VIA MASSIMO D'AZEGLIO,70",108024,GIUSSANO,20833,MB,20,20,690449,FONDAZIONE RESIDENZA AMICA ONLUS,00967850967,09582480159,"VIA MASSIMO D'AZEGLIO,70",108024,GIUSSANO,MB,,PRIVATA,,9.2034793,45.6913958,POINT (9.2034793 45.6913958)
326,001737,CDI C/O LA RSA CASA ALBERGO PER ANZIANI,"VIALE GUGLIELMO MARCONI,115",017113,MONTICHIARI,25018,BS,40,40,691718,MONTICHIARI MULTISERVIZI S.R.L.,02508380983,02508380983,"PIAZZA SENATORE MARIO PEDINI,1",017113,MONTICHIARI,BS,,PRIVATA,,10.3877457,45.4110448,POINT (10.3877457 45.4110448)
324,004961,DON G. MOSCOTTI,"VIA MONSIGNORE ENNIO BERNASCONI,14",108028,LISSONE,20851,MB,24,24,690694,FONDAZIONE CASA DI RIPOSO L. E A. AGOSTONI - ONLUS,04254840962,85008490154,"VIA MONSIGNORE ENNIO BERNASCONI,14",108028,LISSONE,MB,,PRIVATA,,9.23761,45.61994,POINT (9.23761 45.61994)
321,000044,CDI SACCARDO,"VIA MASSIMIANO IMPERATORE,19",015146,MILANO,20134,MI,30,30,691212,SEGESTA GESTIONI SRL,04140620966,04140620966,"VIALE CASSALA,22",015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA CON UN UNICO SOCIO,PRIVATA,NO,9.24421,45.48304,POINT (9.24421 45.48304)
326,001741,CDI FONDAZIONE GAMBARA TAVELLI ONLUS,"VIA LUIGI EINAUDI,1",017195,VEROLANUOVA,25028,BS,20,15,690485,FONDAZIONE GAMBARA - TAVELLI ONLUS,00727260986,88001710172,"VIA LUIGI EINAUDI,1",017195,VEROLANUOVA,BS,FONDAZIONE,PRIVATA,SI,10.07501,45.32922,POINT (10.07501 45.32922)
325,001424,CENTRO DIURNO INTEGRATO DON SANDRO MEZZANOTTI,"VIALE XXIV MAGGIO,11",016219,TREVIGLIO,24047,BG,40,40,691762,YGEA S.P.A.,02502530161,02502530161,"VIALE PIAVE,43",016219,TREVIGLIO,BG,,PRIVATA,,9.5980082,45.5201097,POINT (9.5980082 45.5201097)
323,000957,"""CDI """"NINI CALZONI""""""","VIA ADAMO,1",017118,NIARDO,25050,BS,20,20,691764,ASSOCIAZIONE PRO CASA ANZIANI NIARDO ONLUS,03587150982,90008530173,"VIA ADAMO,1",017118,NIARDO,BS,ASSOCIAZIONE,PRIVATA,NO,10.3368147,45.9777052,POINT (10.3368147 45.9777052)
326,004814,CDI C/O FONDAZIONE S.ANGELA MERICI ONLUS,"VIALE ANTONIO GRAMSCI,25",017067,DESENZANO DEL GARDA,25015,BS,12,12,690710,FONDAZIONE S. ANGELA MERICI ONLUS,00725330989,84001090178,"VIALE ANTONIO GRAMSCI,25",017067,DESENZANO DEL GARDA,BS,FONDAZIONE,PRIVATA,NO,10.5355938,45.4732952,POINT (10.5355938 45.4732952)
327,001878,CENTRO DIURNO INTEGRATO FONDAZIONE ANTONIO NUVOLARI,"LARGO ANTONIO NUVOLARI,4",020052,RONCOFERRARO,46037,MN,15,15,690546,FONDAZIONE ANTONIO NUVOLARI,01465990206,80000750200,"LARGO ANTONIO NUVOLARI,4",020052,RONCOFERRARO,MN,,PRIVATA,,10.95298,45.13519,POINT (10.95298 45.13519)
327,001832,"""CDI """"L'ARCOBALENO"""" C/O """"OSP. G. ARAGONA IST. GERIATRICO E RIABILITATIVO""","VIA GRASSELLI BARNI,47",019090,SAN GIOVANNI IN CROCE,26037,CR,20,20,691015,FONDAZIONE OSPEDALE GIUSEPPE ARAGONA ISTITUTO GERIATRICO E RIABILITATIVO ONLUS,00296100191,00296100191,"VIA GRASSELLI BARNI,47",019090,SAN GIOVANNI IN CROCE,CR,FONDAZIONE,PRIVATA,SI,10.38075,45.0756,POINT (10.38075 45.0756)
321,000248,"""CDI PRESSO RSA""""I PIOPPI""""""","VIA LEONARDO DA VINCI,38",015101,DRESANO,20070,MI,15,15,691806,PUNTO SERVICE - COOPERATIVA SOCIALE A R.L,01645790021,01645790021,"VIA VERCELLI,23/A",002031,CARESANABLOT,VC,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,9.3542822,45.3713892,POINT (9.3542822 45.3713892)
321,000662,CDI MONS. LUIGI OLGIATI,"VIA GIOVANNI BOCCACCIO,354",015209,SESTO SAN GIOVANNI,20099,MI,25,25,690510,FONDAZIONE ISTITUTO GERIATRICO LA PELUCCA - ONLUS,00987080967,85001850156,"VIA TOMMASO CAMPANELLA,8-10",015209,SESTO SAN GIOVANNI,MI,,PRIVATA,,9.2399057,45.5464114,POINT (9.2399057 45.5464114)
322,004812,CDI MENOTTI BASSANI,"VIA AVVOCATO FRANCO BASSANI,13",012087,LAVENO-MOMBELLO,21014,VA,20,20,690440,CENTRO RESIDENZIALE PER ANZIANI MENOTTI BASSANI,01319900120,01319900120,"VIA AVVOCATO FRANCO BASSANI,13",012087,LAVENO-MOMBELLO,VA,,PRIVATA,,8.61455,45.90583,POINT (8.61455 45.90583)
322,004821,ISTITUTO LA PROVVIDENZA U.G. 4,"VIA SAN GIOVANNI BOSCO,3",012026,BUSTO ARSIZIO,21052,VA,30,30,690792,ISTITUTO LA PROVVIDENZA ONLUS,01279730129,81002690121,"VIA SAN GIOVANNI BOSCO,3",012026,BUSTO ARSIZIO,VA,,PRIVATA,,8.85241,45.6162,POINT (8.85241 45.6162)
321,000085,"""CDI PRESSO RSA """"AZIENDA SPECIALE CASA DI RIPOSO GALLAZZI-VISMARA""""""","VIA GIACOMO MATTEOTTI,30",015009,ARESE,20044,MI,20,20,121112,SERCOP AZIENDA SERVIZI COMUNALI ALLA PERSONA,05728560961,05728560961,"VIA DEI CORNAGGIA,33",015182,RHO,MI,AZIENDA SPECIALE CONSORTILE,PUBBLICA,NO,9.07746,45.55404,POINT (9.07746 45.55404)
326,001630,CDI SANDRO GIACOMAZZI,"VIA PAPA PAOLO VI,SNC",017025,BOVEZZO,25073,BS,40,40,104064,COOPERATIVA SOCIALE SAN NICOLO' - SOCIETA' COOPERATIVA SOCIALE,01665720163,01665720163,VIA PIO MANZU',016006,ALMENNO SAN BARTOLOMEO,BG,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,10.2377612,45.5876686,POINT (10.2377612 45.5876686)
326,001582,CDI C/O FONDAZIONE POMPEO E CESARE MAZZOCCHI ONLUS,"VIA CARERA,28",017056,COCCAGLIO,25030,BS,15,15,690682,FONDAZIONE POMPEO E CESARE MAZZOCCHI ONLUS,00724370986,82000930170,"VIA VITTORIO EMANUELE II,26",017056,COCCAGLIO,BS,,PRIVATA,,9.9805978,45.5623358,POINT (9.9805978 45.5623358)
