COD_ASL,COD_STRUTTURA,DENOM_STRUTTURA,INDIRIZZO_UBICAZIONE,COD_ISTAT_COMUNE_UBICAZIONE,COMUNE_UBICAZIONE,CAP,PROV_COMUNE_UBICAZIONE,TOT_POSTI_AUTORIZZATI,TOT_POSTI_ACCREDITATI,COD_GESTORE,DENOM_GESTORE,P_IVA,COD_FISCALE_GESTORE,INDIRIZZO_SEDE_LEGALE,COD_ISTAT_COMUNE_SEDE_LEGALE,COMUNE_SEDE_LEGALE,PROV_SEDE_LEGALE,NATURA_GIURIDICA,PUBBLICA_PRIVATA,ONLUS,WGS84_X,WGS84_Y,LOCATION
326,001687,CDI FONDAZIONE ONLUS LONGINI-MORELLI-SIRONI DI PRALBOINO,"VIA MORELLI,10",017152,PRALBOINO,25020,BS,20,20,690616,FONDAZIONE ONLUS LONGINI MORELLI DI PRALBOINO,00621130988,88003570178,"VIA MORELLI,10",017152,PRALBOINO,BS,,PRIVATA,,10.21852,45.26634,POINT (10.21852 45.26634)
326,001499,CDI PIETRO CONTARELLI,"VIA FRANCESCO ZANE,10",017170,SALO',25087,BS,40,40,690584,FONDAZIONE CITTA' DI  SALO',00726460983,87000750171,"VIA FRANCESCO ZANE,10",017170,SALO',BS,FONDAZIONE,PRIVATA,NO,10.5159987,45.6045504,POINT (10.5159987 45.6045504)
321,097938,CENTRO DIURNO INTEGRATO JULIUS CLINIC,"VIA ANTONIO STOPPANI,36",015146,MILANO,20129,MI,30,30,131249,JULIUS CLINIC S.R.L.,06477120155,06477120155,"VIA ANTONIO STOPPANI, 36",015146,MILANO,MI,SOCIETA' A RESPONSABILITA' LIMITATA,PRIVATA,NO,9.2158337,45.4739447,POINT (9.2158337 45.4739447)
328,002042,"""CDI """"SAN GIUSEPPE""""""","VIA SAN SEBASTIANO,5",018113,PIEVE DEL CAIRO,27037,PV,15,15,732588,ALE.MAR. COOPERATIVA SOCIALE ONLUS,01956990186,01956990186,"VIA ROCCA VECCHIA,1",018177,VIGEVANO,PV,SOCIETA' COOPERATIVA DI SOLIDARIETA' SOCIALE,PRIVATA,SI,8.80657,45.05322,POINT (8.80657 45.05322)
326,001609,CDI GIANCARLO SERIOLI,"VIA SANTUARIO,3",017161,REZZATO,25086,BS,16,16,690623,"""AZIENDA SPECIALE """"EVARISTO ALMICI""""""",02416190987,02416190987,"VIA SANTUARIO,3",017161,REZZATO,BS,AZIENDA SPECIALE DI ENTE LOCALE,PUBBLICA,NO,10.3125365,45.5174445,POINT (10.3125365 45.5174445)
322,002864,"""CDI """"AZIENDA SPECIALE CONSORTILE CASA ANZIANI INTERCOMUNALE""""""","VIA SOMAZZO,7",013256,UGGIATE CON RONAGO,22029,CO,30,30,690473,AZIENDA SPECIALE CONSORTILE CASA ANZIANI INTERCOMUNALE,01750930131,01750930131,"VIA SOMAZZO,7",013256,UGGIATE CON RONAGO,CO,AZIENDA SPECIALE DI ENTE LOCALE,PUBBLICA,NO,8.9596728,45.8261598,POINT (8.9596728 45.8261598)
328,002157,"""CDI """"RSA DI STRADELLA""""""","VIA CARLO ACHILLI,1",018153,STRADELLA,27049,PV,20,20,138348,BRONI STRADELLA PUBBLICA SRL,02419480187,02419480187,"VIA CAMILLO BENSO CAVOUR,28",018153,STRADELLA,PV,,PRIVATA,,9.2875894,45.0767675,POINT (9.2875894 45.0767675)
326,001753,CDI C/O LA RSA TILDE E LUIGI COLOSIO,"VIA BILINE,74/76-LOC.DELTA",017163,RODENGO SAIANO,25050,BS,15,15,690540,GENESI IMPRESA SOCIALE SOCIETA' COOPERATIVA SOCIALE ONLUS,03480310170,03480310170,"VIA BILINE,74/76",017163,RODENGO SAIANO,BS,,PRIVATA,,10.0987556,45.6000324,POINT (10.0987556 45.6000324)
324,001016,CDI  FONDAZIONE CASA FAMIGLIA SAN GIUSEPPE ONLUS,"VIA GENERALE ANTONIO CANTORE,7",108050,VIMERCATE,20871,MB,30,30,690463,FONDAZIONE CASA FAMIGLIA SAN GIUSEPPE - ONLUS,00988290961,87000410156,"VIA GENERALE ANTONIO CANTORE,7",108050,VIMERCATE,MB,,PRIVATA,,9.3824,45.6223,POINT (9.3824 45.6223)
325,001229,CDI C/O FONDAZIONE HONEGGER,"VIA CAPPUCCINI,10",016004,ALBINO,24021,BG,38,38,690723,FONDAZIONE HONEGGER R.S.A.,01724950165,80025590169,"VIA CAPPUCCINI,10",016004,ALBINO,BG,FONDAZIONE,PRIVATA,SI,9.7889304,45.7597433,POINT (9.7889304 45.7597433)
