"COD_ASL","COD_STRUTTURA","DENOM_STRUTTURA","INDIRIZZO_UBICAZIONE","COD_ISTAT_COMUNE_UBICAZIONE","COMUNE_UBICAZIONE","CAP","PROV_COMUNE_UBICAZIONE","TOT_POSTI_AUTORIZZATI","TOT_POSTI_ACCREDITATI","COD_GESTORE","DENOM_GESTORE","P_IVA","COD_FISCALE_GESTORE","INDIRIZZO_SEDE_LEGALE","COD_ISTAT_COMUNE_SEDE_LEGALE","COMUNE_SEDE_LEGALE","PROV_SEDE_LEGALE","PUBBLICA_PRIVATA","WGS84_Y","WGS84_X","FL_ACCREDITATA","Location"
"322","000719","FONDAZIONE DON CARLO GNOCCHI ONLUS - CENTRO SANTA MARIA AL MONTE","VIA NIZZA,6","012096","MALNATE","21.046","VA","191","176","690451","FONDAZIONE DON CARLO GNOCCHI ONLUS","12520870150","04793650583","VIA CARLO GIROLA,30","015146","MILANO","MI","PRIVATA","45,79444","8,87876","SI","POINT (8.87876 45.79444)"
"322","002816","SAN CARLO BORROMEO - FATEBENEFRATELLI","VIA COMO,2","013255","SOLBIATE CON CAGNO","22.043","CO","212","212","690002","PROVINCIA LOMBARDO-VENETA DELL'ORDINE OSPEDALIERO DI SAN GIOVANNI DI DIO FATEBENEFRATELLI","01647730157","01647730157","VIA PILASTRONI,4","017029","BRESCIA","BS","PRIVATA","45,7894056","8,9375354","SI","POINT (8.9375354 45.7894056)"
"321","000224","RSA BELVEDERE","VIA CINQUE MARTIRI,1","015059","CASSANO D'ADDA","20.062","MI","85","85","690787","COMUNE DI CASSANO D'ADDA","03674570159","03674570159","PIAZZA GIACOMO MATTEOTTI,1","015059","CASSANO D'ADDA","MI","PUBBLICA","45,5235115","9,5186458","SI","POINT (9.5186458 45.5235115)"
"322","093350","LA DIMORA SUL LAGO","VIA LAGO,26","012138","VERGIATE","21.029","VA","75","75","199713","LA DIMORA SUL LAGO - IMPRESA SOCIALE S.R.L.","04045230127","04045230127","VIA LAGO","012138","VERGIATE","VA","PRIVATA","45,75139","8,68917","SI","POINT (8.68917 45.75139)"
"327","001827","RSA FONDAZIONE OSPEDALE CAIMI ONLUS","VIA CAIMI,21","019112","VAILATE","26.019","CR","62","62","690711","FONDAZIONE OSPEDALE CAIMI - ONLUS","00305030199","00305030199","VIA CAIMI,21","019112","VAILATE","CR","PRIVATA","45,46215","9,60311","SI","POINT (9.60311 45.46215)"
"321","000371","RSA S. GIUSEPPE","VIA ARCO NUOVO,16","015062","CASTANO PRIMO","20.022","MI","70","70","691166","PROVINCIA ITALIANA DELLA CONGREGAZIONE DEI SERVI DELLA CARITA' - OPERA DON GUANELLA","01084241007","02595400587","VICOLO CLEMENTI,41","058091","ROMA","RM","PRIVATA","45,55386","8,77427","SI","POINT (8.77427 45.55386)"
"321","000476","RICOVERO F. UBOLDI","VIA BRUNO BUOZZI,27","015166","PADERNO DUGNANO","20.037","MI","95","90","690565","RICOVERO F. UBOLDI","00754590966","03528330156","VIA BRUNO BUOZZI,27","015166","PADERNO DUGNANO","MI","PRIVATA","45,56995","9,16407","SI","POINT (9.16407 45.56995)"
"325","001221","FONDAZIONE CECILIA CACCIA IN DEL NEGRO ONLUS","VIA XX SETTEMBRE,19/21","016108","GANDINO","24.024","BG","150","150","690730","FONDAZIONE CECILIA CACCIA IN DEL NEGRO ONLUS","02200060164","81001170166","VIA XX SETTEMBRE,19/21","016108","GANDINO","BG","PRIVATA","45,8132248","9,9015464","SI","POINT (9.9015464 45.8132248)"
"326","001723","RSA - FONDAZIONE  DANTE CUSI ONLUS","VIA DANTE CUSI,12","017073","GAMBARA","25.020","BS","42","40","690728","FONDAZIONE DANTE CUSI ONLUS","88001270177","88001270177","VIA DANTE CUSI,12","017073","GAMBARA","BS","PRIVATA","45,2538908","10,2961298","SI","POINT (10.2961298 45.2538908)"
"326","004866","RSA - CASA DI RIPOSO A. COMINI","VIA SAN FRANCESCO D'ASSISI,9","017057","COLLEBEATO","25.060","BS","61",,"691776","SOCIETA' COOPERATIVA ONLUS CASA DI RIPOSO A. COMINI","02728840980","02728840980","VIA SAN FRANCESCO D'ASSISI,9","017057","COLLEBEATO","BS","PRIVATA","45,5850271","10,2166968","NO","POINT (10.2166968 45.5850271)"
"327","001808","R.S.A. FONDAZIONE MONS ARRIGO MAZZALI ONLUS  DI MANTOVA","VIA TRENTO,10","020030","MANTOVA","46.100","MN","206","202","690699","FONDAZIONE MONS ARRIGO MAZZALI ONLUS DI MANTOVA","00441270204","80005070208","VIA TRENTO,10","020030","MANTOVA","MN","PRIVATA","45,1637","10,79025","SI","POINT (10.79025 45.1637)"
"323","000941","RSA LUCIA LORENZETTI","VIA TENENTE ALBERTO FRANZONI,11","017007","ARTOGNE","25.040","BS","30","30","691324","RESIDENZA ANGELO MAJ FONDAZIONE ONLUS","00723500989","81001070176","VIA GALILEO GALILEI,16","017065","DARFO BOARIO TERME","BS","PRIVATA","45,8478304","10,1656376","SI","POINT (10.1656376 45.8478304)"
"325","001241","SAN PAOLO RESIDENZA SANITARIA ASSISTENZIALE","VIA TRENTO,1","016016","AZZANO SAN PAOLO","24.052","BG","58","58","692093","COOPERATIVA SOCIALE SOCIETA' DOLCE SOCIETA' COOPERATIVA","03772490375","03772490375","VIA CRISTINA DA PIZZANO,5","037006","BOLOGNA","BO","PRIVATA","45,6631148","9,6747312","SI","POINT (9.6747312 45.6631148)"
"324","001173","RSA ANNI VERDI","VIA LEGA LOMBARDA,8","108009","BIASSONO","20.853","MB","62","62","690713","COOPERATIVA SOCIALE QUADRIFOGLIO S.C. ONLUS","03890320017","03890320017","VIALE SAVORGNAN D'OSOPPO,4/10","001191","PINEROLO","TO","PRIVATA","45,62407","9,27246","SI","POINT (9.27246 45.62407)"
"321","000206","R.S.A. I PIOPPI","VIA LEONARDO DA VINCI,38","015101","DRESANO","20.070","MI","75","75","691806","PUNTO SERVICE - COOPERATIVA SOCIALE A R.L","01645790021","01645790021","VIA VERCELLI,23/A","002031","CARESANABLOT","VC","PRIVATA","45,3713892","9,3542822","SI","POINT (9.3542822 45.3713892)"
"321","000673","R.S.A. ALFREDO PODESTA'","STRADA CERCA,2","015024","BINASCO","20.082","MI","120","120","201480","ROMEO S.R.L.","14296690960","14296690960","VIALE CASSALA, 22","015146","MILANO","MI","PRIVATA","45,33765","9,10448","SI","POINT (9.10448 45.33765)"
"323","000942","FONDAZIONE ENTE CELERI ETS","VIA TAGLIERINI,25","017028","BRENO","25.043","BS","70","65","690753","FONDAZIONE ENTE CELERI O.N.L.U.S.","00723530986","81001430172","VIA INGEGNER ANTONIO TAGLIERINI 25","017028","BRENO","BS","PRIVATA","45,95689","10,30259","SI","POINT (10.30259 45.95689)"
"322","000902","RSA IL MELO","VIA MAGENTA,3","012070","GALLARATE","21.013","VA","122","120","691476","IL MELO ONLUS SOCIETA' COOPERATIVA SOCIALE","01564890125","91002590122","VIA MAGENTA,3","012070","GALLARATE","VA","PRIVATA","45,65624","8,7934","SI","POINT (8.7934 45.65624)"
"326","001556","RSA - FONDAZIONE VILLA SERENA ETS","VIALE GIANBATTISTA ORIZIO,17","017150","PONTOGLIO","25.037","BS","63","60","690868","FONDAZIONE VILLA SERENA - ONLUS","02730300981","00976580175","VIALE ORIZIO,17","017174","SAREZZO","BS","PRIVATA","45,5724348","9,8523578","SI","POINT (9.8523578 45.5724348)"
"323","000921","""R.S.A. """"CITTA' DI TIRANO""""""","VIA S.BERTACCHI,6","014066","TIRANO","23.037","SO","116","116","690493","""FONDAZIONE """"CASA DI RIPOSO CITTA' DI TIRANO"""" ONLUS""","00401160148","83001140140","VIA GIOVANNI BERTACCHI,6","014066","TIRANO","SO","PRIVATA","46,21534","10,17191","SI","POINT (10.17191 46.21534)"
"326","001700","RSA - ""LA RESIDENZA""","VIA DEI MILLE,41","017029","BRESCIA","25.122","BS","95","95","690754","FONDAZIONE CASA DI DIO ONLUS","02467380982","02467380982","VIA MORETTO,4","017029","BRESCIA","BS","PRIVATA","45,5391161","10,2112791","SI","POINT (10.2112791 45.5391161)"
"324","001075","R.S.A. MONSIGNOR BORSIERI","VIA SAN NICOLO',4/6/8","097042","LECCO","23.900","LC","59","59","690776","FONDAZIONE ISTITUTO SACRA FAMIGLIA ONLUS","00795470152","03034530158","PIAZZA MONSIGNORE LUIGI MONETA 1","015074","CESANO BOSCONE","MI","PRIVATA","45,85661","9,38958","SI","POINT (9.38958 45.85661)"
"321","000180","RSA MARIA AUSILIATRICE SRL","VIA ROGOREDO,31","015146","MILANO","20.138","MI","40","40","690593","RESIDENZA SANITARIA ASSISTENZIALE MARIA AUSILIATRICE S.R.L.","04414200966","04414200966","VIA ROGOREDO,31","015146","MILANO","MI","PRIVATA","45,4313835","9,2431525","SI","POINT (9.2431525 45.4313835)"
"321","000084","RSA VILLA II VERROCCHIO","VIA CESARE PASCARELLA,19","015146","MILANO","20.157","MI","120","120","691731","EDOS SRL","05831590962","05831590962","VIA BENEDETTO DA FOIANO,14","048017","FIRENZE","FI","PRIVATA","45,5160146","9,1431281","SI","POINT (9.1431281 45.5160146)"
"322","004772","RSA SAN GIACOMO","VIA SILVIO PELLICO,3","012134","VEDANO OLONA","21.040","VA","48","38","692093","COOPERATIVA SOCIALE SOCIETA' DOLCE SOCIETA' COOPERATIVA","03772490375","03772490375","VIA CRISTINA DA PIZZANO,5","037006","BOLOGNA","BO","PRIVATA","45,77674","8,88189","SI","POINT (8.88189 45.77674)"
"322","000775","RSA CASA  S.AGNESE","VIA GIUSEPPE FRUA,4","012119","SARONNO","21.047","VA","102","102","690851","ISTITUTO DELLE FIGLIE DI SANTA MARIA DELLA DIVINA PROVVIDENZA","01062811003","02477630582","PIAZZA DI SAN PANCRAZIO,9","058091","ROMA","RM","PRIVATA","45,63026","9,04141","SI","POINT (9.04141 45.63026)"
"321","000620","R.S.A. GLI OLEANDRI","VIA GIORGIO AMENDOLA,20/A","015189","ROZZANO","20.089","MI","120","120","113045","TERRANOVA S.R.L.","07640860966","07640860966","VIA LARGA,8","015146","MILANO","MI","PRIVATA","45,3787456","9,1480044","SI","POINT (9.1480044 45.3787456)"
"321","000331","RSA SANTA CHIARA","VIA PAOLO GORINI,48","098031","LODI","26.900","LO","268","259","691426","FONDAZIONE SANTA CHIARA CENTRO MULTISERVIZI PER LA POPOLAZIONE ANZIANA ONLUS","08043770158","84501950152","VIA PAOLO GORINI,48","098031","LODI","LO","PRIVATA","45,3135264","9,5095598","SI","POINT (9.5095598 45.3135264)"
"327","001932","FONDAZIONE ISTITUTO VISMARA - DE PETRI ONLUS","VIA CARLO VISMARA,10","019088","SAN BASSANO","26.020","CR","267","258","690585","FONDAZIONE ISTITUTO CARLO VISMARA - GIOVANNI DE PETRI ONLUS","00408630192","83000090197","VIA CARLO VISMARA,10","019088","SAN BASSANO","CR","PRIVATA","45,24216","9,81196","SI","POINT (9.81196 45.24216)"
"325","001248","RSA CASA DI RIPOSO OVIDIO CERRUTI","VIA OVIDIO CERRUTI,6","016051","CAPRIATE SAN GERVASIO","24.042","BG","200","190","200735","PROVINCIA NORD ITALIANA DELL'ORDINE DEI MINISTRI DEGLI INFERMI (CAMILLIANI)","13471450968","01556270153","VIA RUGGERO BOSCOVICH, 25","015146","MILANO","MI","PRIVATA","45,60972","9,53529","SI","POINT (9.53529 45.60972)"
"324","001018","RSA LA ROSA D'ARGENTO","VIA SAN CARLO,5","108038","RONCO BRIANTINO","20.885","MB","44","44","692369","CODESS SOCIALE SOCIETA' COOPERATIVA SOCIALE","03174760276","03174760276","VIA GIOVANNI BOCCACCIO,96","028060","PADOVA","PD","PRIVATA","45,66172","9,40227","SI","POINT (9.40227 45.66172)"
"328","097332","RESIDENZA SAN GENESIO","STRADA CAMPAGNATE,44/A","018135","SAN GENESIO ED UNITI","27.010","PV","120","120","692369","CODESS SOCIALE SOCIETA' COOPERATIVA SOCIALE","03174760276","03174760276","VIA GIOVANNI BOCCACCIO,96","028060","PADOVA","PD","PRIVATA","45,23856833","9,17535148","SI","POINT (9.17535148 45.23856833)"
"327","001918","R.S.A. CASA ROSANNA","VIA GIUSEPPE GARIBALDI,6","020036","MONZAMBANO","46.040","MN","42","40","690452","C.S.A. COOPERATIVA SERVIZI ASSISTENZIALI - SOCIETA' COOPERATIVA SOCIALE","01697440202","01697440202","VIA GELSO,8","020030","MANTOVA","MN","PRIVATA","45,3860559","10,6907475","SI","POINT (10.6907475 45.3860559)"
"321","000261","RSA CASTELLINI DI MELEGNANO","VIA CAMILLO BENSO DI CAVOUR,21","015140","MELEGNANO","20.077","MI","352","350","690409","FONDAZIONE CASTELLINI - ONLUS","03769650155","84507490153","VIA CAMILLO BENSO DI CAVOUR,21","015140","MELEGNANO","MI","PRIVATA","45,3601758","9,3253777","SI","POINT (9.3253777 45.3601758)"
"327","001860","FONDAZ.CASA RIPOSO OSP.DEI POVERI PANDINO ONLUS","VIA DELLA VIGNOLA,3","019067","PANDINO","26.025","CR","106","103","690569","FONDAZIONE CASA DI RIPOSO OSPEDALE DEI POVERI DI PANDINO - ONLUS","00871270195","82002330197","VIA DELLA VIGNOLA,3","019067","PANDINO","CR","PRIVATA","45,4097024","9,5487958","SI","POINT (9.5487958 45.4097024)"
"324","001166","RSA  CASA DI RIPOSO L. E A. AGOSTONI","VIA MONSIGNORE ENNIO BERNASCONI,14","108028","LISSONE","20.851","MB","120","120","690694","FONDAZIONE CASA DI RIPOSO L. E A. AGOSTONI - ONLUS","04254840962","85008490154","VIA MONSIGNORE ENNIO BERNASCONI,14","108028","LISSONE","MB","PRIVATA","45,61994","9,23761","SI","POINT (9.23761 45.61994)"
"322","000698","FONDAZIONE GIUSEPPE E GIULIANA RONZONI ETS","VIA DEGLI ORTI,14","012013","BESOZZO","21.023","VA","62","62","690832","""FONDAZIONE  GIUSEPPE E GIULIANA RONZONI- ONLUS""","00666710124","83000410122","VIA DEGLI ORTI,14","012013","BESOZZO","VA","PRIVATA","45,84766","8,66652","SI","POINT (8.66652 45.84766)"
"326","001727","RSA - FONDAZIONE CASA DI RIPOSO DI CALCINATO ONLUS","VIA SALVO D'ACQUISTO,5","017032","CALCINATO","25.011","BS","103","86","690796","FONDAZIONE CASA DI RIPOSO DI   CALCINATO ONLUS","00725650980","85000450172","VIA SALVO D'ACQUISTO,5","017032","CALCINATO","BS","PRIVATA","45,4536477","10,4120637","SI","POINT (10.4120637 45.4536477)"
"321","002508","""ISTITUTO GERIATRICO """"P.REDAELLI""""""","VIA GIACOMO LEOPARDI,3","015242","VIMODRONE","20.055","MI","261","261","690852","AZIENDA DI SERVIZI ALLA PERSONA GOLGI REDAELLI","04737420150","80063990156","VIA BARTOLOMEO D'ALVIANO,78","015146","MILANO","MI","PUBBLICA","45,51774","9,28774","SI","POINT (9.28774 45.51774)"
"326","001608","RSA - EVARISTO ALMICI","VIA SANTUARIO,3","017161","REZZATO","25.086","BS","56","55","690623","""AZIENDA SPECIALE """"EVARISTO ALMICI""""""","02416190987","02416190987","VIA SANTUARIO,3","017161","REZZATO","BS","PUBBLICA","45,5174445","10,3125365","SI","POINT (10.3125365 45.5174445)"
"322","000712","ISTITUTO LA PROVVIDENZA U.G. 3","VIA SAN GIOVANNI BOSCO,3","012026","BUSTO ARSIZIO","21.052","VA","86","86","690792","ISTITUTO LA PROVVIDENZA ONLUS","01279730129","81002690121","VIA SAN GIOVANNI BOSCO,3","012026","BUSTO ARSIZIO","VA","PRIVATA","45,6162","8,85241","SI","POINT (8.85241 45.6162)"
"324","004862","CASA DI RIPOSO SACRA FAMIGLIA ANTONIANI","VIA MONTECCHIO NORD,1","097023","COLICO","23.823","LC","25",,"691783","ISTITUTO DELLE SUORE DELLA SACRA FAMIGLIA","80020470169","80020470169","VIA LUIGIA CORTI,6","016198","SERIATE","BG","PRIVATA","46,14242","9,3756","NO","POINT (9.3756 46.14242)"
