id,aas,denominazione,indirizzo,n_civ,cap,citta,prov,telefono,tipologia,natura_giuridica,pl_tot,auto_n1,auto_n2,non_auto_n3,rm_auto,rm_non_auto,lat,longit,Georeferenziazione
136,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'S. Anna',Via Tellini,1,33100,Udine,UD,0432/600649,Terzo livello,Privata di mercato,95,0,0,95,106,106,46.02657,13.25858,POINT (13.25858 46.02657)
135,Azienda Sanitaria Universitaria Friuli Centrale,'La Quiete',Via S. Agostino,7,33100,Udine,UD,0432/886211,Terzo livello,Pubblica ASP,408,0,0,408,0,94.1,46.068937,13.239414,POINT (13.239414 46.068937)
133,Azienda Sanitaria Universitaria Friuli Centrale,'San Luigi Scrosoppi',Via Morgagni,5,33028,Tolmezzo,UD,0433/481611,Terzo livello,Pubblica ASP,166,0,0,166,62,89.5,46.405687,13.01003,POINT (13.01003 46.405687)
132,Azienda Sanitaria Universitaria Friuli Centrale,'Zaffiro Tarcento',Via Sottocolle Verzan,30,33017,Tarcento,UD,0432/781800,Terzo livello,Privata di mercato,189,20,85,84,77,113.5,46.21414,13.22248,POINT (13.22248 46.21414)
131,Azienda Sanitaria Universitaria Friuli Centrale,ASP 'Opera Pia Coianiz',Via Coianiz,8,33017,Tarcento,UD,0432/780711,Terzo livello,Pubblica ASP,192,24,0,168,63.8,94.5,46.21826,13.21948,POINT (13.21948 46.21826)
130,Azienda Sanitaria Universitaria Friuli Centrale,ComunitÃ  alloggio 'Associazione anziani' di Taipana,Via Roma,46,33040,Taipana,UD,0432/788296,ComunitÃ  familiare,Privata Sociale,24,24,0,0,41.67,0,46.24794,13.33997,POINT (13.33997 46.24794)
129,Azienda Sanitaria Universitaria Friuli Centrale,ASP 'Casa di Riposo Giuseppe Sirch',Via del Klancic,2,33049,San Pietro al Natisone,UD,0432/727013,Secondo livello,Pubblica ASP,60,0,0,60,0,100.6,46.129185,13.488047,POINT (13.488047 46.129185)
128,Azienda Sanitaria Universitaria Friuli Centrale,'Le Camelie',Via Stazione,70,33048,San Giovanni al Natisone,UD,0432/757378,Terzo livello,Privata di mercato,80,0,0,80,109,109,45.9753155,13.397483,POINT (13.397483 45.9753155)
127,Azienda Sanitaria Universitaria Friuli Centrale,G. ChiabÃ,Via Cristofoli,18,33058,San Giorgio di Nogaro,UD,0431/65032,Terzo livello,Pubblica ASP,151,0,48,103,57.5,97.3,45.834952,13.201657,POINT (13.201657 45.834952)
126,Azienda Sanitaria Universitaria Friuli Centrale,Residenza per persone non autosufficienti di San Daniele del Friuli,Via Dalmazia,33,33038,San Daniele del Friuli,UD,0432/969011,Terzo livello,Pubblica Azienda per i servizi Sanitari,146,0,0,146,0,88,46.151472,13.007343,POINT (13.007343 46.151472)
125,Azienda Sanitaria Universitaria Friuli Centrale,'Zaffiro' - Rivignano,Via Nazario Sauro,4,33050,Rivignano Teor,UD,0432/775300,Terzo livello,Privata di mercato,150,30,30,90,78,116.5,45.875838,13.0456592,POINT (13.0456592 45.875838)
124,Azienda Sanitaria Universitaria Friuli Centrale,ASP 'Fondazione Emilia Muner De Giudici',Via della LibertÃ,19,33040,Pradamano,UD,0432/671684,Terzo livello,Pubblica ASP,81,5,0,76,61,99.8,46.015432,13.300884,POINT (13.300884 46.015432)
123,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'Villa Orchidea',Via Aquileia,94,33050,Pavia di Udine,UD,0432/676898,Secondo livello,Privata di mercato,50,0,0,50,111,111,45.9753324,13.3270722,POINT (13.3270722 45.9753324)
122,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'Giacinto Blasoni',Via Roggia,4,33050,Pavia di Udine,UD,0432/564709,Secondo livello,Privata di mercato,55,0,0,55,109,109,45.973214,13.2547545,POINT (13.2547545 45.973214)
121,Azienda Sanitaria Universitaria Friuli Centrale,Centro residenziale per anziani di Paularo,Via della Pineta,2,33027,Paularo,UD,0433/711193,Primo livello,Privata sociale,25,0,0,25,61.5,86,46.526226,13.12209,POINT (13.12209 46.526226)
120,Azienda Sanitaria Universitaria Friuli Centrale,Residenza 'Paolino Zucchini',Via Vera Tonino,1,33037,Pasian di Prato,UD,0432/690463,Terzo livello,Privata di mercato,120,0,0,120,127,127,46.05496,13.193346,POINT (13.193346 46.05496)
